game_id,date,home_team,guest_team,latitude,longitude
20141028NOP,2014-10-28,New Orleans Pelicans,Orlando Magic,29.949,-90.0821
20141028SAS,2014-10-28,San Antonio Spurs,Dallas Mavericks,29.427,-98.4375
20141028LAL,2014-10-28,Los Angeles Lakers,Houston Rockets,34.043,-118.2673
20141029CHO,2014-10-29,Charlotte Hornets,Milwaukee Bucks,35.225,-80.8392
20141029IND,2014-10-29,Indiana Pacers,Philadelphia 76ers,39.7639,-86.1555
20141029TOR,2014-10-29,Toronto Raptors,Atlanta Hawks,43.6435,-79.379
20141029MIA,2014-10-29,Miami Heat,Washington Wizards,25.7814,-80.187
20141029BOS,2014-10-29,Boston Celtics,Brooklyn Nets,42.3663,-71.0622
20141029NYK,2014-10-29,New York Knicks,Chicago Bulls,40.7505,-73.9934
20141029MEM,2014-10-29,Memphis Grizzlies,Minnesota Timberwolves,35.1381,-90.0506
20141029DEN,2014-10-29,Denver Nuggets,Detroit Pistons,39.7486,-105.0076
20141029UTA,2014-10-29,Utah Jazz,Houston Rockets,40.7683,-111.901
20141029PHO,2014-10-29,Phoenix Suns,Los Angeles Lakers,33.4457,-112.0712
20141029SAC,2014-10-29,Sacramento Kings,Golden State Warriors,38.649,-121.518
20141029POR,2014-10-29,Portland Trail Blazers,Oklahoma City Thunder,45.5316,-122.6668
20141030ORL,2014-10-30,Orlando Magic,Washington Wizards,28.5392,-81.3839
20141030CLE,2014-10-30,Cleveland Cavaliers,New York Knicks,41.4965,-81.688
20141030MIN,2014-10-30,Minnesota Timberwolves,Detroit Pistons,44.9795,-93.2761
20141030DAL,2014-10-30,Dallas Mavericks,Utah Jazz,32.7904,-96.8103
20141030LAC,2014-10-30,Los Angeles Clippers,Oklahoma City Thunder,34.043,-118.2673
20141031IND,2014-10-31,Indiana Pacers,Memphis Grizzlies,39.7639,-86.1555
20141031CHI,2014-10-31,Chicago Bulls,Cleveland Cavaliers,41.8806,-87.6742
20141031MIL,2014-10-31,Milwaukee Bucks,Philadelphia 76ers,43.0432,-87.9168
20141031PHO,2014-10-31,Phoenix Suns,San Antonio Spurs,33.4457,-112.0712
20141031SAC,2014-10-31,Sacramento Kings,Portland Trail Blazers,38.649,-121.518
20141031LAL,2014-10-31,Los Angeles Lakers,Los Angeles Clippers,34.043,-118.2673
20141101CHO,2014-11-01,Charlotte Hornets,Memphis Grizzlies,35.225,-80.8392
20141101NOP,2014-11-01,New Orleans Pelicans,Dallas Mavericks,29.949,-90.0821
20141101ORL,2014-11-01,Orlando Magic,Toronto Raptors,28.5392,-81.3839
20141101PHI,2014-11-01,Philadelphia 76ers,Miami Heat,39.9012,-75.172
20141101WAS,2014-11-01,Washington Wizards,Milwaukee Bucks,38.8982,-77.0209
20141101ATL,2014-11-01,Atlanta Hawks,Indiana Pacers,33.7573,-84.3963
20141101DET,2014-11-01,Detroit Pistons,Brooklyn Nets,42.6914,-83.2453
20141101HOU,2014-11-01,Houston Rockets,Boston Celtics,29.7509,-95.3622
20141101MIN,2014-11-01,Minnesota Timberwolves,Chicago Bulls,44.9795,-93.2761
20141101OKC,2014-11-01,Oklahoma City Thunder,Denver Nuggets,35.4635,-97.5151
20141101UTA,2014-11-01,Utah Jazz,Phoenix Suns,40.7683,-111.901
20141101GSW,2014-11-01,Golden State Warriors,Los Angeles Lakers,37.768,-122.3878
20141102LAC,2014-11-02,Los Angeles Clippers,Sacramento Kings,34.043,-118.2673
20141102MIA,2014-11-02,Miami Heat,Toronto Raptors,25.7814,-80.187
20141102NYK,2014-11-02,New York Knicks,Charlotte Hornets,40.7505,-73.9934
20141102POR,2014-11-02,Portland Trail Blazers,Golden State Warriors,45.5316,-122.6668
20141103PHI,2014-11-03,Philadelphia 76ers,Houston Rockets,39.9012,-75.172
20141103BRK,2014-11-03,Brooklyn Nets,Oklahoma City Thunder,40.6827,-73.9752
20141103MEM,2014-11-03,Memphis Grizzlies,New Orleans Pelicans,35.1381,-90.0506
20141103DAL,2014-11-03,Dallas Mavericks,Boston Celtics,32.7904,-96.8103
20141103DEN,2014-11-03,Denver Nuggets,Sacramento Kings,39.7486,-105.0076
20141103LAC,2014-11-03,Los Angeles Clippers,Utah Jazz,34.043,-118.2673
